,Job Tier,Job Type,Skill
209,Intermediate,Hourly,Medical Writing
210,Expert,Fixed-Price,ICD Coding
211,Expert,Fixed-Price,Medical Billing and Coding
212,Expert,Fixed-Price,Medical Condition Coding
213,Expert,Fixed-Price,Medical Procedure Coding
214,Expert,Fixed-Price,Medical Records Research
215,Intermediate,Hourly,Data Entry
216,Intermediate,Hourly,Data Scraping
217,Expert,Hourly,Financial Analysis
218,Expert,Hourly,Financial Modeling
219,Expert,Hourly,Financial Reporting
220,Expert,Hourly,Mathematics
221,Expert,Hourly,Microsoft Excel
222,Expert,Hourly,Project Management
223,Expert,Hourly,Quantitative Analysis
224,Expert,Hourly,GitHub
225,Expert,Hourly,RFID
226,Intermediate,Hourly,Data Mining
227,Intermediate,Hourly,Data Science
228,Intermediate,Hourly,JavaFX
229,Intermediate,Hourly,Machine Learning
230,Intermediate,Fixed-Price,Calculus
231,Intermediate,Fixed-Price,Econometrics
232,Intermediate,Fixed-Price,Data Entry
233,Intermediate,Fixed-Price,Data Mining
234,Intermediate,Fixed-Price,Microsoft Excel
235,Intermediate,Fixed-Price,Research
236,Intermediate,Fixed-Price,Data Entry
237,Intermediate,Fixed-Price,HTML
238,Intermediate,Fixed-Price,OpenCart
239,Intermediate,Hourly,"""Extract, Transform and Load (ETL)"""
240,Intermediate,Hourly,Java
241,Intermediate,Hourly,Pentaho
242,Intermediate,Hourly,Python
243,Intermediate,Hourly,Ubuntu
244,Intermediate,Hourly,Business Intelligence
245,Intermediate,Hourly,Data Analytics
246,Intermediate,Hourly,Tableau Software
247,Expert,Hourly,Business Intelligence
248,Expert,Hourly,Data Visualization
249,Expert,Hourly,Microsoft Power BI
250,Expert,Hourly,Tableau Software
251,Intermediate,Fixed-Price,Data Visualization
252,Intermediate,Fixed-Price,Google Analytics
253,Intermediate,Hourly,Copyediting
254,Intermediate,Hourly,Editing
255,Intermediate,Hourly,English Proofreading
256,Intermediate,Fixed-Price,Database Design
257,Intermediate,Fixed-Price,Database Programming
258,Intermediate,Fixed-Price,Microsoft Access Programming
259,Intermediate,Hourly,Apache Spark
260,Intermediate,Hourly,Hadoop
261,Intermediate,Hourly,Machine Learning
262,Intermediate,Hourly,Python
263,Entry,Hourly,Data Entry
264,Entry,Hourly,Data Mining
265,Entry,Hourly,Google Spreadsheets
266,Entry,Hourly,Internet Research
267,Intermediate,Hourly,Analytics
268,Intermediate,Hourly,Data Analytics
269,Intermediate,Hourly,Data Entry
270,Intermediate,Hourly,Data Mining
271,Intermediate,Hourly,Machine Learning
272,Intermediate,Hourly,R
273,Intermediate,Hourly,Statistical Computing
274,Intermediate,Hourly,Statistics
275,Intermediate,Hourly,Analytics
276,Intermediate,Hourly,Data Entry
277,Intermediate,Hourly,Data Mining
278,Intermediate,Hourly,Quantitative Analysis
279,Expert,Fixed-Price,Business Intelligence
280,Expert,Fixed-Price,Data Analytics
281,Expert,Fixed-Price,Data Modeling
282,Expert,Fixed-Price,Data Visualization
283,Expert,Fixed-Price,Excel VBA
284,Expert,Fixed-Price,Microsoft Excel
285,Expert,Fixed-Price,SQL
286,Expert,Fixed-Price,Tableau Software
287,Expert,Hourly,Artificial Intelligence
288,Expert,Hourly,Machine Learning
289,Entry,Hourly,Microsoft Excel
290,Entry,Hourly,Microsoft Excel
291,Entry,Hourly,Fashion Design
292,Entry,Hourly,Illustration
293,Entry,Hourly,Pattern Recognition
294,Entry,Hourly,Sketching
295,Entry,Hourly,Textile Engineering
296,Entry,Hourly,Content Writing
297,Entry,Hourly,Data Entry
298,Entry,Hourly,Digital Video
299,Entry,Hourly,Internet Research
300,Entry,Hourly,Sports Writing
301,Entry,Hourly,Statistics
302,Entry,Hourly,Video Streaming
303,Expert,Hourly,PostGIS
304,Expert,Hourly,PostgreSQL Administration
305,Expert,Hourly,PostgreSQL Programming
306,Intermediate,Fixed-Price,Data Visualization
307,Intermediate,Fixed-Price,Microsoft Excel
308,Intermediate,Fixed-Price,Microsoft Power BI
309,Intermediate,Fixed-Price,SQL
310,Intermediate,Fixed-Price,Amazon Web Services
311,Intermediate,Fixed-Price,Data Mining
312,Intermediate,Fixed-Price,Data Science
313,Intermediate,Fixed-Price,Deep Learning
314,Intermediate,Fixed-Price,Machine Learning
315,Intermediate,Fixed-Price,Python
316,Intermediate,Fixed-Price,SQL
317,Intermediate,Hourly,Database Design
318,Intermediate,Hourly,Database Management
319,Intermediate,Hourly,Web Scraping
320,Intermediate,Hourly,Microsoft Excel
321,Expert,Fixed-Price,Data Mining
322,Expert,Fixed-Price,Research
323,Intermediate,Hourly,Data Entry
324,Intermediate,Hourly,Microsoft Excel
325,Intermediate,Hourly,Spreadsheets
326,Entry,Hourly,Internet Research
327,Intermediate,Fixed-Price,Artificial Intelligence
328,Intermediate,Fixed-Price,Artificial Neural Networks
329,Intermediate,Fixed-Price,Computer Vision
330,Intermediate,Fixed-Price,Deep Learning
331,Intermediate,Fixed-Price,Image Processing
332,Intermediate,Fixed-Price,Machine Learning
333,Intermediate,Fixed-Price,Amazon MWS
334,Intermediate,Fixed-Price,SQL
335,Intermediate,Hourly,Analytics
336,Intermediate,Hourly,Microsoft Power BI
337,Intermediate,Hourly,SQL
338,Intermediate,Hourly,SQL Azure
339,Intermediate,Hourly,Microsoft Windows Azure
340,Intermediate,Fixed-Price,Business Mathematics
341,Intermediate,Fixed-Price,Gambling
342,Intermediate,Fixed-Price,Game Design
343,Intermediate,Fixed-Price,Google AdWords
344,Intermediate,Fixed-Price,Google AdWords Development
345,Entry,Hourly,Python
346,Entry,Hourly,Python Numpy
347,Entry,Hourly,Python SciPy
348,Intermediate,Hourly,Algorithms
349,Intermediate,Hourly,Amazon Webstore
350,Intermediate,Hourly,Analytics
351,Intermediate,Hourly,Data Mining
352,Intermediate,Hourly,Data Science
353,Intermediate,Hourly,Machine Learning
354,Intermediate,Fixed-Price,Microsoft Excel
355,Expert,Hourly,Financial Analysis
356,Expert,Hourly,Financial Modeling
357,Expert,Hourly,Financial Reporting
358,Expert,Hourly,Mathematics
359,Expert,Hourly,Microsoft Excel
360,Expert,Hourly,Project Management
361,Expert,Hourly,Quantitative Analysis
362,Intermediate,Fixed-Price,Excel VBA
363,Intermediate,Fixed-Price,Microsoft Excel
364,Intermediate,Fixed-Price,VBA
365,Entry,Fixed-Price,Business Analysis
366,Entry,Fixed-Price,Data Mining
367,Entry,Fixed-Price,Financial Analysis
368,Entry,Fixed-Price,Internet Research
369,Entry,Fixed-Price,Market Research
370,Entry,Fixed-Price,Marketing Strategy
371,Entry,Fixed-Price,Microsoft Excel
372,Intermediate,Hourly,Data Mining
373,Intermediate,Hourly,Internet Research
374,Expert,Hourly,Argus
375,Expert,Hourly,Financial Analysis
376,Expert,Hourly,Financial Modeling
377,Expert,Hourly,Real Estate Appraisal
378,Expert,Hourly,Real Estate IDX
379,Expert,Hourly,Real Estate Law
380,Expert,Hourly,Real Estate Management
381,Expert,Hourly,Statistics
382,Expert,Hourly,Amazon Redshift
383,Expert,Hourly,Data Visualization
384,Expert,Hourly,Data Warehousing
385,Expert,Hourly,"""Extract, Transform and Load (ETL)"""
386,Expert,Hourly,Tableau Software
387,Intermediate,Hourly,SAS
388,Expert,Hourly,A/B Testing
389,Expert,Hourly,Analytics
390,Expert,Hourly,Conversion Rate Optimization
391,Entry,Hourly,Scripting
392,Intermediate,Fixed-Price,Artificial Neural Networks
393,Intermediate,Fixed-Price,Data Mining
394,Intermediate,Fixed-Price,Data Science
395,Intermediate,Fixed-Price,Java
396,Intermediate,Fixed-Price,Machine Learning
397,Intermediate,Fixed-Price,Python
398,Intermediate,Fixed-Price,TensorFlow
399,Intermediate,Hourly,SQL
400,Intermediate,Hourly,Transact-SQL
401,Expert,Hourly,DevOps
402,Expert,Fixed-Price,Amazon Redshift
403,Expert,Fixed-Price,Data Visualization
404,Expert,Fixed-Price,"""Extract, Transform and Load (ETL)"""
405,Expert,Fixed-Price,Tableau Software
406,Expert,Fixed-Price,R
407,Expert,Hourly,Data Management
408,Expert,Hourly,Internet Research
409,Expert,Hourly,Microsoft Excel
410,Expert,Hourly,Analytics
411,Expert,Hourly,Big Data
412,Expert,Hourly,Microsoft Server
413,Expert,Hourly,Microsoft SQL Server Administration
414,Expert,Hourly,Microsoft SQL Server Programming
415,Expert,Hourly,SQL
416,Expert,Hourly,SQL Azure
417,Expert,Hourly,SQL Server Integration Services (SSIS)
418,Expert,Hourly,Microsoft Windows Azure
419,Entry,Fixed-Price,Algorithm Development
420,Entry,Fixed-Price,Algorithms
421,Entry,Fixed-Price,Data Science
422,Entry,Fixed-Price,Machine Learning
423,Entry,Fixed-Price,Python
424,Entry,Hourly,Data Entry
425,Entry,Hourly,Microsoft Excel
426,Entry,Hourly,Research
427,Intermediate,Hourly,Google AdWords
428,Intermediate,Hourly,Google Analytics API
429,Intermediate,Hourly,Google Docs API
430,Entry,Hourly,Teaching Algebra
431,Intermediate,Fixed-Price,Data Mining
432,Intermediate,Fixed-Price,Data Scraping
433,Intermediate,Fixed-Price,Internet Research
434,Intermediate,Hourly,Computer Vision
435,Intermediate,Hourly,MATLAB
436,Intermediate,Hourly,OpenCV
437,Expert,Hourly,Data Analytics
438,Expert,Hourly,Google+
439,Entry,Fixed-Price,Python
440,Intermediate,Hourly,Apache Spark
441,Intermediate,Hourly,Hadoop
442,Intermediate,Hourly,Python
443,Entry,Hourly,Amazon MWS
444,Entry,Hourly,API Development
445,Entry,Fixed-Price,Data Entry
446,Entry,Fixed-Price,Internet Research
447,Entry,Fixed-Price,Interviewing
448,Entry,Fixed-Price,Lead Generation
449,Entry,Fixed-Price,Microsoft Excel
450,Entry,Hourly,Internet Research
451,Intermediate,Hourly,Bioinformatics
452,Intermediate,Hourly,Biology
453,Intermediate,Hourly,Biotechnology
454,Intermediate,Hourly,Data Mining
455,Intermediate,Hourly,Genetic Engineering
456,Expert,Hourly,Data Science
457,Expert,Hourly,Conversion Rate Optimization
458,Expert,Hourly,Google Analytics
459,Expert,Fixed-Price,Data Analytics
460,Expert,Fixed-Price,Market Research
461,Expert,Fixed-Price,Microsoft Excel
462,Expert,Fixed-Price,Quantitative Analysis
463,Expert,Fixed-Price,Statistics
464,Intermediate,Hourly,Financial Analysis
465,Intermediate,Hourly,Foreign Exchange Trading
466,Intermediate,Hourly,Quantitative Analysis
467,Expert,Hourly,Machine Learning
468,Expert,Hourly,Python
469,Expert,Hourly,TensorFlow
470,Intermediate,Hourly,Data Analytics
471,Intermediate,Hourly,Statistics
472,Intermediate,Hourly,Internet Research
473,Intermediate,Hourly,Nutrition
474,Intermediate,Hourly,Research
475,Intermediate,Fixed-Price,Blue Sky Capital Strategies Portfolio Manager
476,Intermediate,Fixed-Price,Portfolio Management
477,Intermediate,Fixed-Price,Portfolio Performance Modeling
478,Intermediate,Fixed-Price,Project Portfolio Management
479,Intermediate,Fixed-Price,ArcGIS
480,Intermediate,Fixed-Price,Artificial Intelligence
481,Intermediate,Fixed-Price,Artificial Neural Networks
482,Intermediate,Fixed-Price,Computer Vision
483,Intermediate,Fixed-Price,Image Processing
484,Intermediate,Fixed-Price,Machine Learning
485,Intermediate,Fixed-Price,OpenCV
486,Intermediate,Fixed-Price,Python
487,Intermediate,Fixed-Price,QGIS
488,Intermediate,Fixed-Price,Data Analytics
489,Intermediate,Fixed-Price,Data Science
490,Intermediate,Fixed-Price,Machine Learning
491,Intermediate,Fixed-Price,Python
492,Intermediate,Fixed-Price,Scikit-Learn
493,Intermediate,Hourly,Article Writing
494,Intermediate,Fixed-Price,API Development
495,Intermediate,Fixed-Price,Application Programming
496,Intermediate,Fixed-Price,Data Scraping
497,Entry,Hourly,Data Entry
498,Intermediate,Fixed-Price,Data Mining
499,Intermediate,Fixed-Price,Data Scraping
500,Intermediate,Fixed-Price,Lead Generation
501,Intermediate,Hourly,Data Mining
502,Intermediate,Hourly,Data Science
503,Intermediate,Hourly,Data Visualization
504,Intermediate,Hourly,Excel VBA
505,Intermediate,Hourly,Quantitative Analysis
506,Intermediate,Hourly,Zoho CRM
507,Expert,Hourly,Big Data
508,Expert,Hourly,Hadoop
509,Expert,Hourly,MapReduce
510,Expert,Fixed-Price,Data Analytics
511,Expert,Fixed-Price,Data Entry
512,Expert,Fixed-Price,Data Mining
513,Expert,Fixed-Price,Data Scraping
514,Expert,Fixed-Price,Microsoft Excel
515,Intermediate,Hourly,Apache Hive
516,Intermediate,Hourly,Apache Spark
517,Intermediate,Hourly,Hadoop
518,Expert,Fixed-Price,Algorithm Development
519,Expert,Fixed-Price,Machine Learning
520,Expert,Fixed-Price,Network Design
521,Expert,Fixed-Price,Network Programming
522,Expert,Hourly,Artificial Intelligence
523,Expert,Hourly,Computer Vision
524,Expert,Hourly,Deep Learning
525,Expert,Hourly,Deep Neural Networks
526,Expert,Hourly,Machine Learning
527,Entry,Fixed-Price,Microsoft Excel
528,Entry,Fixed-Price,Research
529,Entry,Fixed-Price,Telephone Handling
530,Intermediate,Hourly,Python
531,Intermediate,Hourly,Data Visualization
532,Intermediate,Hourly,Statistics
533,Intermediate,Fixed-Price,Cognos
534,Intermediate,Fixed-Price,Microsoft Access Programming
535,Intermediate,Fixed-Price,Microsoft Excel
536,Expert,Hourly,PostgreSQL Programming
537,Expert,Fixed-Price,Data Scraping
538,Expert,Fixed-Price,Microsoft Excel
539,Entry,Hourly,Chrome OS
540,Entry,Hourly,Data Extraction
541,Entry,Hourly,Microsoft Excel
542,Expert,Fixed-Price,API Development
543,Expert,Fixed-Price,Chrome Extension
544,Expert,Fixed-Price,Data Mining
545,Expert,Fixed-Price,Data Science
546,Expert,Fixed-Price,Data Scraping
547,Expert,Fixed-Price,Firefox Plugin Development
548,Expert,Fixed-Price,HTML
549,Expert,Fixed-Price,HTML5
550,Expert,Fixed-Price,JavaScript
551,Expert,Fixed-Price,jQuery
552,Expert,Fixed-Price,MySQL Programming
553,Expert,Fixed-Price,PHP
554,Expert,Fixed-Price,Python
555,Expert,Fixed-Price,Ruby
556,Expert,Fixed-Price,User Interface Design
557,Expert,Fixed-Price,Web Design
558,Expert,Fixed-Price,Web Scraping
559,Expert,Fixed-Price,Website Development
560,Expert,Fixed-Price,WordPress
561,Entry,Fixed-Price,Excel VBA
562,Entry,Fixed-Price,IMacros
563,Entry,Fixed-Price,Microsoft Excel
564,Entry,Fixed-Price,Microsoft Excel PowerPivot
565,Expert,Fixed-Price,MongoDB
566,Intermediate,Fixed-Price,Data Visualization
567,Intermediate,Fixed-Price,Microsoft Power BI
568,Intermediate,Fixed-Price,Tableau Software
569,Entry,Hourly,Business Analysis
570,Entry,Hourly,Economic Analysis
571,Entry,Hourly,Economics
572,Entry,Hourly,Financial Accounting
573,Entry,Hourly,Financial Analysis
574,Entry,Hourly,Financial Modeling
575,Entry,Hourly,Financial Risk
576,Entry,Hourly,Foreign Exchange Trading
577,Entry,Hourly,Stock Management
578,Entry,Fixed-Price,ASP.NET
579,Entry,Fixed-Price,Business Analysis
580,Entry,Fixed-Price,Data Mining
581,Entry,Fixed-Price,MySQL Programming
582,Entry,Fixed-Price,Data Mining
583,Entry,Fixed-Price,English
584,Entry,Fixed-Price,Web Scraping
585,Intermediate,Hourly,Business Valuation
586,Intermediate,Hourly,Corporate Finance
587,Intermediate,Hourly,Econometrics
588,Intermediate,Hourly,Financial Analysis
589,Intermediate,Hourly,Financial Modeling
590,Intermediate,Hourly,Mathematics
591,Intermediate,Hourly,Microsoft Excel
592,Intermediate,Hourly,Quantitative Analysis
593,Intermediate,Hourly,Tutoring
594,Expert,Fixed-Price,Budgeting & Forecasting
595,Expert,Fixed-Price,Data Analytics
596,Expert,Fixed-Price,Microsoft Excel
597,Expert,Fixed-Price,Database Administration
598,Expert,Fixed-Price,Database Caching
599,Expert,Fixed-Price,Database Design
600,Expert,Fixed-Price,Database Management
601,Expert,Fixed-Price,Database Modeling
602,Expert,Fixed-Price,Database Testing
603,Expert,Fixed-Price,Microsoft Access Administration
604,Expert,Fixed-Price,Microsoft Access Programming
605,Intermediate,Hourly,Qualitative Research
606,Intermediate,Hourly,Sales Presentations
607,Expert,Hourly,Artificial Intelligence
608,Expert,Hourly,Deep Learning
609,Expert,Hourly,Deep Neural Networks
610,Expert,Hourly,Machine Learning
611,Expert,Hourly,TensorFlow
612,Expert,Fixed-Price,Bitcoin
613,Expert,Fixed-Price,Blockchain
614,Expert,Fixed-Price,Ethereum
615,Expert,Hourly,Academic Writing
616,Expert,Hourly,Technical Writing
617,Expert,Hourly,Bitcoin
618,Expert,Hourly,Microsoft Excel
619,Entry,Hourly,Data Entry
620,Entry,Hourly,Data Mining
621,Entry,Hourly,Data Scraping
622,Entry,Hourly,Microsoft Excel
623,Intermediate,Fixed-Price,Excel VBA
624,Intermediate,Fixed-Price,Microsoft Excel
625,Intermediate,Fixed-Price,Data Science
626,Intermediate,Fixed-Price,Quantitative Analysis
627,Intermediate,Fixed-Price,Statistics
628,Expert,Fixed-Price,Microsoft Excel
629,Expert,Fixed-Price,Statistics
630,Expert,Hourly,Cloud Computing
631,Expert,Hourly,Google Cloud Platform
632,Expert,Hourly,Machine Learning
633,Intermediate,Hourly,Data Science
634,Intermediate,Hourly,Hadoop
635,Intermediate,Hourly,Machine Learning
636,Intermediate,Hourly,R-Hadoop
637,Expert,Fixed-Price,Artificial Neural Networks
638,Expert,Fixed-Price,Deep Learning
639,Expert,Fixed-Price,Machine Learning
640,Expert,Fixed-Price,Data Extraction
641,Entry,Hourly,IBM SPSS
642,Entry,Hourly,Microsoft Excel
643,Intermediate,Hourly,Data Analytics
644,Intermediate,Hourly,Data Science
645,Intermediate,Hourly,Financial Analysis
646,Intermediate,Hourly,Internet Research
647,Intermediate,Hourly,Mathematics
648,Intermediate,Hourly,Microsoft Excel
649,Intermediate,Hourly,Statistics
650,Expert,Hourly,Business Analysis
651,Expert,Hourly,Data Visualization
652,Expert,Hourly,SQL
653,Intermediate,Hourly,Data Entry
654,Intermediate,Hourly,Data Extraction
655,Intermediate,Hourly,Data Scraping
656,Intermediate,Hourly,Microsoft Excel
657,Intermediate,Hourly,Web Scraping
658,Intermediate,Fixed-Price,Microsoft Excel
659,Intermediate,Fixed-Price,Microsoft Excel PowerPivot
660,Intermediate,Fixed-Price,Microsoft Power BI
661,Intermediate,Fixed-Price,Spanish
662,Expert,Fixed-Price,Data Entry
663,Expert,Fixed-Price,Data Mining
664,Expert,Fixed-Price,Python
665,Entry,Fixed-Price,Data Analytics
666,Entry,Fixed-Price,JavaScript
667,Entry,Fixed-Price,JSON
668,Intermediate,Hourly,Web Crawling
669,Intermediate,Hourly,Data Scraping
670,Entry,Fixed-Price,Data Scraping
671,Entry,Fixed-Price,Web Scraping
672,Entry,Hourly,Data Mining
673,Entry,Hourly,Data Science
674,Intermediate,Hourly,Natural Language Processing
675,Intermediate,Hourly,Python
676,Intermediate,Hourly,Microsoft Access Programming
677,Intermediate,Hourly,Microsoft Excel
678,Intermediate,Hourly,Space Planning
679,Expert,Hourly,Data Visualization
680,Expert,Hourly,Design Thinking
681,Entry,Fixed-Price,Data Entry
682,Entry,Fixed-Price,Data Mining
683,Entry,Fixed-Price,Microsoft Excel
684,Entry,Fixed-Price,Virtual Assistant
685,Entry,Hourly,Data Entry
686,Entry,Hourly,Data Mining
